gm_gis_county,gm_well_category,PFBTA,PFPA,PFHA,PFHPA,PFOA,PFNA,PFNDCA,PFUNDCA,PFDOA,PFTRIDA,PFTEDA,PFHXDA,PFODA,3:3FTCA,5:3FTCA,7:3FTCA,4:2FTS,6:2FTS,8:2FTS,10:2FTS,PFBSA,PFPES,PFHXSA,PFHPSA,PFOS,PFNS,PFDSA,PFOSA,ETFOSE,ETFOSA,NETFOSAA,MEFOSE,MEFOSA,NMEFOSAA,ADONA,HFPA-DA,11ClPF3OUDS,9ClPF3ONS,PFAS_total
ALAMEDA,MONITORING,327.17833333333334,843.8392857142857,1344.3892857142857,207.3832142857143,489.53214285714284,30.665357142857143,15.747857142857143,0.9,0.4777777777777778,0.06153846153846154,0.015,,,,,,1.2857142857142858,722.2785714285714,95.36071428571428,,231.66315789473686,619.5942857142857,3404.001578947368,263.41285714285715,12890.167142857143,6.766666666666667,0.17857142857142858,74.43142857142857,,,1.0464285714285715,,,3.1785714285714284,0.0,0.0,0.0,0.04,20357.2375
ALAMEDA,MUNICIPAL,,,3.334454787234043,2.297848806366048,3.273517060367454,2.041522546419098,1.9716861702127662,1.9732619680851065,1.9753563829787235,1.9742140957446808,1.9760119680851065,,,,,,,,,,4.753249336870026,,13.371883289124668,,17.53270341207349,,,,,,2.069643617021277,,,2.055775265957447,2.527875354107649,2.6632889518413596,1.988369688385269,1.9751798866855526,68.61977427821523
ALAMEDA,"WATER SUPPLY, OTHER",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,3.64
BUTTE,DOMESTIC,3.7,1.9,1.9,1.9,1.9,1.9,1.9,,,1.9,1.9,,,,,,7.4,7.4,7.4,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3.7,,,3.7,,,3.7,,,,,65.5
BUTTE,MONITORING,12.403333333333334,16.97,17.386666666666667,8.820000000000002,27.003333333333334,3.385,1.91,0.9899999999999999,0.9899999999999999,0.9899999999999999,0.9899999999999999,,,,,,0.9899999999999999,0.9899999999999999,1.115,,8.746666666666666,1.985,8.845,1.6199999999999999,65.15666666666667,0.0,1.3633333333333333,1.67,3.466666666666667,10.4,2.4766666666666666,6.196666666666666,14.866666666666667,1.295,1.9799999999999998,2.4766666666666666,1.9799999999999998,1.9799999999999998,209.765
BUTTE,MUNICIPAL,3.6999999999999997,3.533333333333333,2.514037267080745,2.176273291925466,3.261462205700124,2.070310559006211,2.070485678704857,2.071839799749687,2.071839799749687,2.070310559006211,2.070310559006211,,,,,,7.466666666666666,7.466666666666666,7.466666666666666,,2.916894409937888,1.8666666666666665,6.692298136645963,1.8666666666666665,7.654399008674102,1.8666666666666665,1.8666666666666665,3.6999999999999997,,,2.616894409937888,,,2.616894409937888,2.0238286479250336,2.6386151797603197,2.0231691078561918,2.0231691078561918,51.15687732342007
CALAVERAS,DOMESTIC,8.075,4.05,4.05,4.05,4.05,4.05,4.05,,,4.05,4.05,,,,,,8.075,8.075,8.075,,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,,,20.25,,,20.25,,,,,137.6
CALAVERAS,MONITORING,1.475,2.8125,2.12,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.125,0.0,,0.195,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,9.217500000000001
CALAVERAS,MUNICIPAL,7.1,3.6,3.6,3.6,3.6,3.6,3.6,,,3.6,3.6,,,,,,7.1,7.1,7.1,,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,,,7.1,,,7.1,,,,,100.2
CONTRA COSTA,DOMESTIC,,,658.0,224.05,350.6,4.245,3.662,0.0,0.0,0.0,0.0,,,,,,,15.7,7.3500000000000005,,,0.0,85.5,0.0,54.0,0.0,0.0,0.0,,,224.15,,,64.45,,,,,1683.857
CONTRA COSTA,MONITORING,923.8388888888888,2869.2431111111114,3154.45311827957,785.655376344086,408.11172043010754,97.14462365591399,0.6134408602150537,0.33827956989247315,0.29634408602150536,0.29623655913978497,0.30718478260869564,0.0,0.0,,,,63.672333333333334,11822.563434782607,41.45935483870967,0.0,1538.3881521739129,1071.6135483870967,2956.765161290323,92.00559139784947,2163.0707526881724,0.031139240506329113,0.29623655913978497,0.5724731182795699,0.0,0.0,4.3822580645161295,0.0,0.0,0.29623655913978497,0.0,0.0,0.0,0.0,27548.521903225806
CONTRA COSTA,MUNICIPAL,,,11.433333333333332,2.939583333333333,4.697916666666667,2.120833333333333,2.120833333333333,2.120833333333333,2.120833333333333,2.120833333333333,2.120833333333333,,,,,,,,,,13.204166666666666,,84.77083333333333,,73.50208333333333,,,,,,2.1625,,,2.1625,2.145,2.295,2.145,2.145,214.87291666666667
DEL NORTE,MUNICIPAL,6.0,3.0,3.744444444444444,2.0703703703703704,5.27037037037037,1.9,1.9,1.708695652173913,1.708695652173913,1.9,1.9,,,,,,8.0,8.0,8.0,,5.055555555555555,3.0,2.4555555555555553,3.0,5.92962962962963,3.0,3.0,4.0,,,3.2333333333333334,,,3.2333333333333334,1.708695652173913,1.708695652173913,1.708695652173913,1.708695652173913,54.58518518518518
FRESNO,IRRIGATION / INDUSTRIAL,8.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,,,,,8.0,8.0,8.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,8.0,,,8.0,,,,,112.0
FRESNO,MONITORING,0.0,0.0,,0.0,0.0,0.85,0.825,1.075,0.0,0.0,0.0,0.0,,,,,0.0,1.025,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,3.775
FRESNO,MUNICIPAL,,,6.049851190476191,3.368660714285714,4.552291666666666,2.592559523809524,2.344642857142857,2.3336309523809526,2.3291666666666666,2.3291666666666666,2.3291666666666666,,,,,,,,,,3.761190476190476,,10.883125,,21.543005952380952,,,,,,2.8142857142857145,,,2.8142857142857145,2.3291666666666666,2.3291666666666666,2.3291666666666666,2.3291666666666666,79.36169642857142
GLENN,MONITORING,,,21.9,14.5,35.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2.125,,3.0,,3.5,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,80.525
GLENN,MUNICIPAL,,,2.0634920634920637,2.0634920634920637,2.0952380952380953,2.0634920634920637,2.0634920634920637,2.0634920634920637,2.0634920634920637,2.0634920634920637,2.0634920634920637,,,,,,,,,,2.0634920634920637,,2.106349206349206,,2.780952380952381,,,,,,2.7142857142857144,,,2.7142857142857144,2.0634920634920637,2.0634920634920637,2.0634920634920637,2.0634920634920637,39.23650793650794
HUMBOLDT,IRRIGATION / INDUSTRIAL,8.3,4.2,4.2,4.2,4.2,4.2,4.2,,,4.2,4.2,,,,,,8.3,8.3,8.3,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,,,21.0,,,21.0,,,,,142.4
HUMBOLDT,MONITORING,,2.402727272727273,5.616363636363636,1.5254545454545456,4.05,82.22363636363637,1.5336363636363637,37.595454545454544,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.6545454545454545,0.0,0.0,10.052727272727273,4.784545454545454,30.39909090909091,0.41727272727272724,42.729727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.98518181818181
HUMBOLDT,MUNICIPAL,7.2,3.625,3.625,3.625,3.625,3.625,3.625,,,3.625,3.625,,,,,,8.35,8.35,8.35,,3.625,3.625,3.625,3.625,3.625,3.625,3.625,4.175,,,16.375,,,16.375,,,,,123.55
IMPERIAL,MONITORING,0.8055555555555556,0.36444444444444446,1.0144444444444443,0.29555555555555557,1.4222222222222223,0.0,0.03666666666666667,0.0,0.05555555555555555,0.0,0.0,,,,,,0.0,2.588888888888889,0.0,,0.2866666666666667,0.2777777777777778,2.3666666666666667,0.03888888888888889,1.8200000000000003,0.0,0.0,0.04777777777777778,,,0.5111111111111111,,,0.0,,,,,11.932222222222222
INYO,MONITORING,1.0050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,1.315
INYO,MUNICIPAL,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,2.0,,2.0,,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,36.0
KERN,MONITORING,16.51090909090909,20.374166666666664,10.1,9.588333333333333,9.899583333333334,3.7908333333333335,1.1716666666666666,2.817083333333333,0.74625,0.18000000000000002,0.13958333333333334,1.4000000000000001,0.0,,,,0.0,17.641666666666666,0.0,0.0,0.7202439024390244,0.27458333333333335,0.21146341463414633,0.20833333333333334,1.630625,0.0,0.0,0.11854166666666666,0.0,0.0,0.011458333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.19645833333334
KERN,MUNICIPAL,,,2.5163439194422925,2.311588641596316,3.086415963161934,2.3583269378357636,2.2464810518174785,2.2440061871616397,2.2440061871616397,2.2427575522850502,2.2428350116189,,,,,,,,,,2.530727969348659,,3.2782041442824252,,3.9968630451415454,,,,,,2.7412993039443156,,,2.7412219644238207,2.2440061871616397,2.308894044856922,2.2440061871616397,2.2440061871616397,45.470925784238716
KINGS,DOMESTIC,7.574999999999999,3.8,3.8,3.8,3.8,3.8,3.8,,,7.4,7.4,,,,,,7.574999999999999,7.574999999999999,7.574999999999999,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,,10.3,,,10.3,,,,,118.9
KINGS,MONITORING,362.5,256.25,216.32,132.5,41.41,22.375,0.7875000000000001,1.5875,0.6875,1.625,0.9125,,,,,,0.3,4.225,0.575,,60.375,12.575,34.25,0.2375,5.22,1.85,0.4,1.225,,,1.625,,,1.5,,,,,1159.925
KINGS,MUNICIPAL,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,2.0,,2.0,,2.0,,,,,,3.0,,,3.0,2.0,2.0,2.0,2.0,38.0
LAKE,MONITORING,94.71000000000001,50.0,121.5,39.522000000000006,80.38,1.223,0.20099999999999998,0.0,0.0,0.0,0.0,,,,,,0.0,14.52,2.06,,8.879999999999999,3.6100000000000003,28.378000000000004,0.414,7.58,0.0,0.0,0.28700000000000003,,,1.77,,,0.3,,,,,455.33500000000004
LAKE,MUNICIPAL,8.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,,,,,8.0,8.0,8.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,20.0,,,20.0,,,,,136.0
