FIPS,County,% Low Birth Weight, Low Birth Weight National Z Score
06000,,7.1470875909,
06001,ALAMEDA,7.4356732553,-0.461565455
06003,ALPINE,,-0.676547377
06005,AMADOR,5.9860788863,-1.141883554
06007,BUTTE,6.4645118294,-0.917347231
06009,CALAVERAS,6.6318926975,-0.83879268
06011,COLUSA,6.025974026,-1.123160119
06013,CONTRA COSTA,7.2719762865,-0.538391092
06015,DEL NORTE,6.5643197459,-0.87050576
06017,EL DORADO,6.6161522824,-0.846179912
06019,FRESNO,7.618346974,-0.375833723
06021,GLENN,5.9771922926,-1.146054176
06023,HUMBOLDT,6.1969629299,-1.042912259
06025,IMPERIAL,6.2421759417,-1.021693061
06027,INYO,8.4089035449,-0.004812729
06029,KERN,7.5858713853,-0.391075042
06031,KINGS,6.6749967118,-0.818563269
06033,LAKE,7.2927276431,-0.528652145
06035,LASSEN,8.2082551595,-0.098980264
06037,LOS ANGELES,7.4894370234,-0.436333249
06039,MADERA,6.3304063712,-0.980285093
06041,MARIN,5.4433368311,-1.396601185
06043,MARIPOSA,7.36629667,-0.49412501
06045,MENDOCINO,6.7053513862,-0.804317329
06047,MERCED,6.5430954588,-0.880466661
06049,MODOC,9.3596059113,0.4413672783
06051,MONO,8.5518814139,0.0622890989
06053,MONTEREY,6.5356339843,-0.883968452
06055,NAPA,6.2776613091,-1.005039204
06057,NEVADA,5.5305350387,-1.355677655
06059,ORANGE,6.6075801244,-0.850202964
06061,PLACER,5.8021400703,-1.228209017
06063,PLUMAS,8.7431693989,0.1520636462
06065,RIVERSIDE,7.0954788283,-0.621224206
06067,SACRAMENTO,7.2161282592,-0.564601475
06069,SAN BENITO,6.8648648649,-0.729455071
06071,SAN BERNARDINO,7.9699554238,-0.210818187
06073,SAN DIEGO,6.8595971188,-0.73192731
06075,SAN FRANCISCO,7.1776111872,-0.582678161
06077,SAN JOAQUIN,7.6595621032,-0.356490796
06079,SAN LUIS OBISPO,6.2781580949,-1.004806054
06081,SAN MATEO,6.7130346121,-0.800711466
06083,SANTA BARBARA,6.8509615385,-0.735980128
06085,SANTA CLARA,7.2109645882,-0.56702487
06087,SANTA CRUZ,6.1731401437,-1.054092678
06089,SHASTA,6.8202554745,-0.75039098
06091,SIERRA,10.365853659,0.9136156319
06093,SISKIYOU,8.6699164345,0.1176848444
06095,SOLANO,7.3801483534,-0.487624191
06097,SONOMA,5.8757676561,-1.1936544
06099,STANISLAUS,6.5704142951,-0.867645489
06101,SUTTER,7.048102434,-0.643458715
06103,TEHAMA,6.4380149454,-0.929782647
06105,TRINITY,6.8027210884,-0.758620152
06107,TULARE,7.2465903351,-0.55030513
06109,TUOLUMNE,6.534272902,-0.88460723
06111,VENTURA,6.3459553342,-0.972987713
06113,YOLO,6.0102751777,-1.130527843
06115,YUBA,7.0572240761,-0.63917778
